,CVE_CLPV
7367,1586.0
7410,1401.0
7437,1289.0
7438,1289.0
7444,1955.0
7460,1965.0
7486,1586.0
7533,1429.0
7559,1600.0
7561,1965.0
7562,1965.0
7651,1289.0
7669,1965.0
7684,1289.0
7689,1266.0
7699,1429.0
7731,1053.0
7846,1784.0
7854,1016.0
7866,1965.0
7867,1965.0
7868,1965.0
7882,1453.0
7892,1429.0
7893,1965.0
7901,1965.0
7904,1339.0
7939,1289.0
7960,1401.0
7967,1831.0
7974,1130.0
7978,1784.0
8007,1284.0
8008,1284.0
8063,1671.0
8078,1943.0
8081,1943.0
8090,1757.0
8129,1965.0
8152,1943.0
8175,1965.0
8176,1965.0
8190,1401.0
8198,1784.0
8221,1583.0
8284,1240.0
8285,1459.0
8330,1757.0
8339,1089.0
8362,1429.0
8406,1784.0
8409,1284.0
8427,1289.0
8432,1965.0
8433,1965.0
8436,1284.0
8440,1429.0
8444,1016.0
8468,1583.0
8565,1284.0
8596,1784.0
8606,1130.0
8658,1053.0
8669,1053.0
8676,1757.0
8682,1982.0
8684,1982.0
8699,1453.0
8774,1784.0
8775,1130.0
8786,1130.0
8788,1266.0
8789,1289.0
8843,1111.0
8851,1130.0
8863,1016.0
8885,1429.0
8925,1284.0
8927,1459.0
8937,1130.0
8944,1429.0
8974,1266.0
8984,1852.0
8995,1965.0
9007,1429.0
9009,1130.0
9023,1284.0
9026,1965.0
9042,1401.0
9043,1016.0
9063,1965.0
9066,1757.0
9068,1339.0
9071,1284.0
9073,1784.0
9102,1852.0
9103,1852.0
9136,1198.0
9138,1198.0
9140,1965.0
9143,1784.0
9161,1289.0
9168,1967.0
9185,1784.0
9198,1233.0
9207,1965.0
9225,1401.0
9353,1686.0
9357,1784.0
9387,1181.0
9390,1016.0
9392,1965.0
9393,1925.0
9396,1585.0
9428,1967.0
9464,1053.0
9465,1289.0
9487,1965.0
9488,1965.0
9515,1965.0
9523,1965.0
9568,1459.0
9569,1284.0
9575,1284.0
9587,1913.0
9615,1429.0
9641,1793.0
9679,1852.0
9682,1429.0
9684,1020.0
9695,1198.0
9716,1965.0
9735,1478.0
9762,1020.0
9790,1429.0
9791,1429.0
9868,1925.0
9911,1053.0
9945,1016.0
9978,1965.0
10019,1429.0
10032,1761.0
10061,1852.0
10067,1284.0
10083,1284.0
10098,1198.0
10121,1852.0
10168,1390.0
10169,1965.0
10238,1053.0
10247,1181.0
10285,1583.0
10373,1690.0
10375,1459.0
10380,1690.0
10398,1429.0
10450,1429.0
10470,1583.0
10519,1198.0
10539,1053.0
10557,1965.0
10563,1429.0
10645,1757.0
10656,1016.0
10682,1459.0
10685,1965.0
10740,1459.0
10785,1852.0
10794,1289.0
10810,1289.0
10821,1757.0
10839,1583.0
10845,1786.0
10871,1453.0
10876,1082.0
